Nome,ID,Conferencia
Cavaliers,1610612739,Leste
Celtics,1610612738,Leste
Knicks,1610612752,Leste
Pacers,1610612754,Leste
Bucks,1610612749,Leste
Pistons,1610612765,Leste
Heat,1610612748,Leste
Magic,1610612753,Leste
Hawks,1610612737,Leste
Bulls,1610612741,Leste
76ers,1610612755,Leste
Nets,1610612751,Leste
Raptors,1610612761,Leste
Hornets,1610612766,Leste
Wizards,1610612764,Leste
Thunder,1610612760,Oeste
Grizzlies,1610612763,Oeste
Nuggets,1610612743,Oeste
Rockets,1610612745,Oeste
Lakers,1610612747,Oeste
Timberwolves,1610612750,Oeste
Clippers,1610612746,Oeste
Mavericks,1610612742,Oeste
Kings,1610612758,Oeste
Suns,1610612756,Oeste
Warriors,1610612744,Oeste
Spurs,1610612759,Oeste
Trail Blazers,1610612757,Oeste
Jazz,1610612762,Oeste
Pelicans,1610612740,Oeste
