Data do Jogo,Adversario,Resultado,Casa ou Fora,Placar
08/02/2025,OKC,L,Casa,112 - ?
05/02/2025,TOR,W,Fora,138 - ?
03/02/2025,SAS,W,Casa,128 - ?
02/02/2025,MIL,W,Fora,132 - ?
30/01/2025,HOU,W,Casa,120 - ?
27/01/2025,NYK,L,Fora,106 - ?
25/01/2025,UTA,W,Casa,125 - ?
24/01/2025,NOP,W,Casa,139 - ?
22/01/2025,CHA,W,Casa,132 - ?
20/01/2025,MIN,W,Casa,108 - ?
17/01/2025,SAS,W,Fora,140 - ?
15/01/2025,SAS,W,Fora,129 - ?
13/01/2025,HOU,L,Fora,118 - ?
11/01/2025,MIN,W,Fora,127 - ?
09/01/2025,HOU,L,Casa,115 - ?
06/01/2025,DAL,W,Casa,119 - ?
04/01/2025,GSW,L,Fora,113 - ?
03/01/2025,SAC,L,Fora,133 - ?
31/12/2024,PHX,W,Fora,117 - ?
29/12/2024,OKC,L,Fora,106 - ?
27/12/2024,NOP,W,Fora,132 - ?
26/12/2024,TOR,W,Casa,155 - ?
23/12/2024,LAC,L,Casa,110 - ?
21/12/2024,ATL,W,Fora,128 - ?
19/12/2024,GSW,W,Casa,144 - ?
15/12/2024,LAL,L,Fora,110 - ?
13/12/2024,BKN,W,Casa,135 - ?
08/12/2024,WAS,W,Fora,140 - ?
07/12/2024,BOS,W,Fora,127 - ?
05/12/2024,SAC,W,Casa,115 - ?
03/12/2024,DAL,L,Fora,116 - ?
01/12/2024,IND,W,Casa,136 - ?
29/11/2024,NOP,W,Casa,120 - ?
27/11/2024,DET,W,Casa,131 - ?
25/11/2024,POR,W,Casa,123 - ?
23/11/2024,CHI,W,Fora,142 - ?
20/11/2024,PHI,W,Casa,117 - ?
19/11/2024,DEN,L,Casa,110 - ?
17/11/2024,DEN,W,Casa,105 - ?
15/11/2024,GSW,L,Fora,118 - ?
13/11/2024,LAL,L,Fora,123 - ?
10/11/2024,POR,W,Fora,134 - ?
08/11/2024,WAS,W,Casa,128 - ?
06/11/2024,LAL,W,Casa,131 - ?
04/11/2024,BKN,L,Fora,104 - ?
02/11/2024,PHI,W,Fora,124 - ?
31/10/2024,MIL,W,Casa,122 - ?
30/10/2024,BKN,L,Casa,106 - ?
28/10/2024,CHI,L,Casa,123 - ?
26/10/2024,ORL,W,Casa,124 - ?
25/10/2024,HOU,L,Fora,108 - ?
23/10/2024,UTA,W,Fora,126 - ?
